"STLA","GM","TM","NSANY","MBGYY","BMWYY","POAHY","TSLA","Dates"
11.4727096557617,37.6064453125,128.369995117188,20.0400009155273,15.4270572662354,25.1329975128174,6.74271821975708,21.3686676025391,2018-01-02
11.9458112716675,38.5241317749023,130.130004882812,20.25,15.5448503494263,25.2703762054443,6.88755035400391,21.1499996185303,2018-01-03
12.8546628952026,39.7116966247559,132.160003662109,20.2299995422363,15.7514352798462,25.4439029693604,7.07261276245117,20.974666595459,2018-01-04
13.5518646240234,39.5947341918945,133.860000610352,20.3899993896484,15.9344663619995,25.7403526306152,7.14502763748169,21.1053333282471,2018-01-05
13.433590888977,39.7836685180664,134.770004272461,20.4400005340576,16.0033302307129,25.9138851165771,7.16111946105957,22.4273338317871,2018-01-08
13.6763648986816,39.630729675293,133.720001220703,20.5400009155273,16.0413837432861,25.9934234619141,7.22548961639404,22.246000289917,2018-01-09
13.6016654968262,38.6860694885254,136.399993896484,20.5900001525879,16.0142059326172,25.6897411346436,7.1852593421936,22.3199996948242,2018-01-10
14.5789957046509,39.7566795349121,136.910003662109,20.75,16.0450077056885,25.7982006072998,7.21744441986084,22.5300006866455,2018-01-11
14.5603199005127,39.6487197875977,137.199996948242,20.75,16.3512706756592,26.405553817749,7.4668755531311,22.4146671295166,2018-01-12
14.1370191574097,39.7566795349121,137.970001220703,20.6599998474121,16.4146938323975,27.2153606414795,7.68412256240845,22.6706676483154,2018-01-16
14.3922443389893,39.6127281188965,140.720001220703,20.8099994659424,16.4962425231934,27.3165855407715,7.66803121566772,23.1439990997314,2018-01-17
14.5665445327759,39.459789276123,138.630004882812,20.6700000762939,16.4998664855957,27.4611949920654,7.59561538696289,22.9713325500488,2018-01-18
14.8964691162109,38.8210182189941,139.850006103516,20.9200000762939,16.6629619598389,28.0034809112549,7.65193891525269,23.3346672058105,2018-01-19
15.0583200454712,38.9469718933105,139.399993896484,21.0799999237061,16.8224353790283,28.5529975891113,7.75653886795044,23.4373321533203,2018-01-22
14.996072769165,39.0279426574707,139.279998779297,21.2999992370605,16.8677406311035,28.2927017211914,7.71630859375,23.5193328857422,2018-01-23
15.0334196090698,39.7296905517578,139.029998779297,21.3999996185303,16.9692211151123,28.2637767791748,7.63584566116333,23.0593338012695,2018-01-24
15.1454696655273,38.830020904541,138.179992675781,21.4400005340576,16.7408847808838,27.9745559692383,7.50710725784302,22.5093326568604,2018-01-25
15.4442710876465,39.1269111633301,139.559997558594,21.8500003814697,16.94384765625,28.1987037658691,7.58756971359253,22.8566665649414,2018-01-26
15.2263965606689,38.7040596008301,139.529998779297,21.8999996185303,16.8623027801514,27.9456386566162,7.44273710250854,23.3020000457764,2018-01-29
15.0832204818726,38.4161605834961,139.619995117188,21.6700000762939,16.7155151367188,27.7359561920166,7.31399869918823,23.054666519165,2018-01-30
15.0458707809448,38.1552581787109,137.919998168945,21.5,16.5995349884033,27.605806350708,7.41055250167847,23.6206665039062,2018-01-31
14.9524955749512,38.1732559204102,138.800003051758,21.5,16.2950897216797,27.6202659606934,7.38641452789307,23.283332824707,2018-02-01
13.8817930221558,36.8867073059082,136.619995117188,21.1700000762939,16.0196399688721,26.8755283355713,7.16111946105957,22.9166679382324,2018-02-02
13.2530651092529,35.5731811523438,131.929992675781,20.7099990844727,15.1787900924683,25.6391277313232,6.63811779022217,22.208667755127,2018-02-05
14.1992673873901,37.6604347229004,138.759994506836,21.3799991607666,15.8746662139893,26.8972263336182,7.20939779281616,22.2646675109863,2018-02-06
14.193042755127,38.1372604370117,136.880004882812,21.3700008392334,15.6354579925537,26.2247943878174,6.94387292861938,23,2018-02-07
13.3713397979736,36.661792755127,134.429992675781,20.4500007629395,15.4614896774292,25.5740528106689,6.74271821975708,21.0153331756592,2018-02-08
13.396240234375,37.3005638122559,136.570007324219,20.6399993896484,15.7586879730225,25.9211139678955,6.87145757675171,20.6946678161621,2018-02-09
13.5705413818359,37.7863883972168,138.759994506836,20.9500007629395,15.8674173355103,26.0512599945068,6.91973495483398,21.0486679077148,2018-02-12
13.4086904525757,37.2465858459473,135.039993286133,20.7700004577637,15.8819160461426,25.9717273712158,6.91168832778931,21.5773334503174,2018-02-13
13.9066925048828,37.6154556274414,135.470001220703,21.0599994659424,16.2516002655029,26.644157409668,7.0484733581543,21.4873332977295,2018-02-14
13.9378156661987,37.6514320373535,135.279998779297,21.0499992370605,16.3240871429443,26.492317199707,7.05651950836182,22.271333694458,2018-02-15
13.9378156661987,36.9676856994629,136.199996948242,21.2000007629395,16.331335067749,26.4850883483887,7.15307426452637,22.3659992218018,2018-02-16
13.7572927474976,36.6797866821289,135.850006103516,20.8500003814697,15.6499547958374,25.7548122406006,6.82317876815796,22.318000793457,2018-02-20
13.6950416564941,36.4908638000488,134.800003051758,20.8199996948242,15.562970161438,25.5668258666992,6.6944408416748,22.2199993133545,2018-02-21
13.5518646240234,36.8057441711426,135.229995727539,20.6599998474121,15.5919666290283,25.8560390472412,6.75076389312744,23.0779991149902,2018-02-22
13.5892162322998,36.8057441711426,137.029998779297,21.0599994659424,15.9326543807983,25.9355754852295,6.76685619354248,23.4699993133545,2018-02-23
13.5456409454346,37.3725395202637,138.429992675781,21.3199996948242,15.6644525527954,26.1886444091797,6.94387292861938,23.8279991149902,2018-02-26
13.3464412689209,36.1399803161621,136.029998779297,20.9799995422363,15.5267267227173,25.7692737579346,6.77490282058716,23.3993320465088,2018-02-27
13.1908149719238,35.4022521972656,134.600006103516,20.9599990844727,15.512228012085,25.4005260467529,6.70248651504517,22.8706665039062,2018-02-28
