,city,CO_concentration,CO_aqi,NO2_concentration,NO2_aqi,O3_concentration,O3_aqi,SO2_concentration,SO2_aqi,PM2.5_concentration,PM2.5_aqi,PM10_concentration,PM10_aqi,overall_aqi,area
31,Capitol Heights,360.49,4,26.39,32,43.63,36,4.47,6,11.41,37,14.03,12,37,Maryland
32,Colmar Manor,360.49,4,26.39,32,43.63,36,4.47,6,11.41,37,14.03,12,37,Maryland
33,Cottage City,360.49,4,26.39,32,43.63,36,4.47,6,11.41,37,14.03,12,37,Maryland
34,Cheverly,360.49,4,26.39,32,43.63,36,4.47,6,11.41,37,14.03,12,37,Maryland
35,Edmonston,360.49,4,26.39,32,43.63,36,4.47,6,11.41,37,14.03,12,37,Maryland
36,Fairmount Heights,360.49,4,26.39,32,43.63,36,4.47,6,11.41,37,14.03,12,37,Maryland
37,Forest Heights,260.35,2,6.0,7,42.92,36,1.13,1,0.76,2,1.09,1,36,Maryland
38,Landover Hills,360.49,4,26.39,32,43.63,36,4.47,6,11.41,37,14.03,12,37,Maryland
39,Morningside,226.97,2,13.37,16,21.28,18,2.74,4,2.43,7,2.89,2,18,Maryland
40,North Brentwood,360.49,4,26.39,32,43.63,36,4.47,6,11.41,37,14.03,12,37,Maryland
41,Seat Pleasant,360.49,4,26.39,32,43.63,36,4.47,6,11.41,37,14.03,12,37,Maryland
42,University Park,397.21,4,35.64,44,23.25,19,1.8,2,6.49,21,13.07,12,44,Maryland
43,Upper Marlboro,413.9,4,39.41,49,30.4,25,4.17,6,13.33,43,16.51,15,49,Maryland
44,Vienna,230.31,2,3.13,3,68.67,80,0.57,0,0.5,1,0.85,0,80,Virginia
45,Falls Church,293.73,3,13.02,16,62.94,62,4.47,6,9.21,29,11.43,10,62,Virginia
46,Manassas,263.69,2,5.66,7,74.39,98,5.13,7,7.86,25,9.37,8,98,Virginia
47,Leesburg,236.99,2,2.57,3,64.37,66,0.72,1,3.08,10,4.74,4,66,Virginia
48,Herndon,213.62,2,1.33,1,80.82,114,0.28,0,3.35,10,5.86,5,114,Virginia
49,Purcellville,267.03,3,6.51,8,70.1,84,5.66,8,8.81,28,10.54,9,84,Virginia
50,Warrenton,257.02,2,4.84,6,74.39,98,5.07,7,7.56,24,9.1,8,98,Virginia
51,Culpeper,257.02,2,4.76,5,55.08,46,0.6,0,7.21,23,9.12,8,46,Virginia
52,Winchester,213.62,2,0.85,1,72.96,93,0.21,0,0.8,2,1.78,1,93,Virginia
53,Front Royal,267.03,3,7.45,9,67.95,77,3.87,5,8.58,27,10.41,9,77,Virginia
54,Strasburg,208.62,2,1.22,1,62.23,60,0.23,0,1.43,4,2.16,2,60,Virginia
55,Woodstock,287.06,3,5.44,6,62.94,62,1.74,2,5.13,16,5.68,5,62,Virginia
56,Luray,211.95,2,0.86,1,60.08,53,0.22,0,5.58,18,10.05,9,53,Virginia
57,Berryville,243.66,2,4.54,5,31.11,26,0.05,0,7.67,24,10.49,9,26,Virginia
58,Middleburg,263.69,2,5.74,7,73.67,95,5.48,8,8.38,27,10.07,9,95,Virginia
59,Dumfries,185.25,2,2.04,2,20.39,17,0.06,0,0.5,1,0.57,0,17,Virginia
60,Occoquan,280.38,3,9.0,11,69.38,82,4.65,6,8.44,27,10.46,9,82,Virginia
61,Haymarket,263.69,2,5.74,7,73.67,95,5.48,8,8.38,27,10.07,9,95,Virginia
62,Clifton,407.22,4,37.7,47,32.19,27,3.46,5,16.96,53,21.53,19,53,Virginia
63,Quantico,277.04,3,6.34,7,63.66,64,2.38,3,8.04,26,9.88,9,64,Virginia
64,Hamilton,250.34,2,1.99,2,60.8,55,0.52,0,0.5,1,0.79,0,55,Virginia
65,Hillsboro,243.66,2,8.91,11,52.21,44,1.36,2,0.99,3,2.01,1,44,Virginia
66,Lovettsville,273.71,3,7.28,9,66.52,73,4.95,7,8.82,28,10.36,9,73,Virginia
67,Round Hill,267.03,3,6.51,8,70.1,84,5.66,8,8.81,28,10.54,9,84,Virginia
68,Ashburn,267.03,3,7.03,8,69.38,82,5.36,7,8.71,28,10.37,9,82,Virginia
69,Chantilly,226.97,2,3.26,4,58.65,49,0.83,1,5.46,17,10.71,9,49,Virginia
70,Sterling,303.75,3,14.22,17,16.99,14,0.06,0,3.1,10,4.04,3,17,Virginia
71,Great Falls,233.65,2,5.91,7,67.95,77,0.07,0,3.85,12,6.49,6,77,Virginia
72,McLean,293.73,3,13.02,16,62.94,62,4.47,6,9.21,29,11.43,10,62,Virginia
73,Tysons,273.71,3,8.74,10,69.38,82,4.95,7,8.53,27,10.41,9,82,Virginia
74,Burke,250.34,2,3.3,4,40.41,34,0.45,0,11.75,38,12.58,11,38,Virginia
75,Springfield,300.41,3,12.68,15,21.99,18,0.29,0,4.15,13,5.92,5,18,Virginia
76,Lorton,280.38,3,9.0,11,69.38,82,4.65,6,8.44,27,10.46,9,82,Virginia
77,Mount Vernon,293.73,3,10.63,13,41.84,35,1.0,1,4.8,15,5.65,5,35,Virginia
78,Annandale,253.68,2,4.54,5,55.08,46,0.31,0,1.29,4,1.79,1,46,Virginia
79,Oakton,273.71,3,8.74,10,69.38,82,4.95,7,8.53,27,10.41,9,82,Virginia
80,Centreville,263.69,2,6.0,7,73.67,95,5.66,8,8.33,27,9.99,9,95,Virginia
81,Manassas Park,263.69,2,5.66,7,74.39,98,5.13,7,7.86,25,9.37,8,98,Virginia
82,Gainesville,240.33,2,2.7,3,80.82,114,2.06,3,6.28,20,13.03,12,114,Virginia
83,Bristow,300.41,3,12.17,15,43.99,37,0.19,0,3.62,11,4.34,4,37,Virginia
84,Nokesville,263.69,2,5.66,7,74.39,98,5.13,7,7.86,25,9.37,8,98,Virginia
85,Dale City,280.38,3,9.0,11,69.38,82,4.65,6,8.44,27,10.46,9,82,Virginia
86,Woodbridge,433.92,4,45.93,57,28.97,24,3.64,5,18.03,55,22.26,20,57,Virginia
87,Stafford,216.96,2,0.72,0,74.39,98,0.28,0,0.5,1,0.9,0,98,Virginia
88,Fredericksburg,283.72,3,6.0,7,47.21,40,0.47,0,8.7,28,9.71,8,40,Virginia
89,Potomac,270.37,3,7.37,9,67.95,77,4.59,6,8.47,27,10.28,9,77,Maryland
90,Ellicott City,293.73,3,10.2,12,61.51,57,3.55,5,8.35,27,10.76,9,57,Maryland
91,Germantown,297.07,3,11.65,14,36.48,30,1.12,1,5.31,17,6.57,6,30,Maryland
92,Waldorf,216.96,2,1.35,1,70.81,86,0.49,0,1.25,4,2.77,2,86,Maryland
93,Lanham,277.04,3,6.51,8,58.65,49,1.34,1,10.5,34,12.1,11,49,Maryland
94,Beltsville,300.41,3,11.82,14,60.08,53,4.35,6,8.91,28,11.12,10,53,Maryland
95,Crofton,323.77,3,16.28,20,52.93,44,3.82,5,9.27,30,11.96,11,44,Maryland
96,Oxon Hill,360.49,4,26.39,32,43.63,36,4.47,6,11.41,37,14.03,12,37,Maryland
97,Sykesville,283.72,3,9.25,11,62.94,62,3.93,5,8.44,27,10.5,9,62,Maryland
98,Olney,253.68,2,6.0,7,28.97,24,0.03,0,5.09,16,5.66,5,24,Maryland
99,Georgetown,181.91,2,0.03,0,60.08,53,0.1,0,2.49,8,7.9,7,53,Washington D.C.
100,Dupont Circle,293.73,3,13.02,16,62.94,62,4.47,6,9.21,29,11.43,10,62,Washington D.C.
